Polish,English
Adam,Adam
Adrian,Adrian
Albert,Albert
Albin,Albin
Aleksander,Alexander
Aleksy,Alex
Alfons,Alphonso
Ambroży,Ambrose
Anatol,Anatole
Andrzej,Andrew
Anioł,"Angel, Angelus"
Antoni,Anthony
Antonin,Anthony
Antonius,Anthony
Anzelm,Anselm
Apoloniusz,Apollonius
Arkadiusz,Arcadius
Arkady,Arcadius
Arnold,Arnold
Artur,Arthur
August,Augustus
Augustyn,Augustine
Bartłomiej,Bartholomew
Bartosz,Bart
Bazyli,Basil
Benedykt,Benedict
Bernard,Bernard
Błażej,"Blase, Blaise"
Bogdan,bog = 'God' + dan = 'gift'
Bogumił,bog = 'God' + mil = 'beloved' : Theodore
Bogumir,bog = 'God' + mir = 'peace' : Godfrey
Bogusław,"bog = 'God' + sław = 'fame, glory, renown'"
Bolesław,Boleslaus
Bonifacy,Boniface
Borys,Boris
Bożidar,boži = 'from God' + dar = 'gift' : Theodore
Bożimir,boži = 'from God' + mir = 'peace' : Godfrey
Bronisław,Bronislaus
Brunon,Bruno
Celestyn,Celestine
Cezary,"Cesar,Caesar"
Chrystian,Christian
Cyprian,Cyprian
Cyryl,Cyril
Czesław,Ceslaus
Damian,"Damien, Damian"
Daniel,Daniel
Danuta,Donna
Dariusz,Darius
Dawid,David
Dekster,Dexter
Denis,Dennis
Dionizy,"Dion, Dennis"
Dobiesław,"dob = + sław = 'fame, glory, renown'"
Dobrogost,dobro = 'good' + gost = 'guest'
Dobrosław,"dobro = 'good' + sław = 'fame, glory, renown'"
Dominik,"Dominick, Dominic"
Donat,Donatus
Dymitr,Dimitri
Edmund,"Edmund, Edmond"
Edward,Edward
Eliasz,"Elijah, Elias"
Emil,Emile
Ernest,Ernest
Eryk,Eric
Eugeniusz,Eugene
Fabian,Fabius
Felicjan,Felician
Feliks,Felix
Ferdynand,Ferdinand
Filip,Philip
Florentyn,Florentine
Florian,Florian
Fortunat,Fortunatus
Franciszek,"Francis, Frank"
Franciszek Ksawery,Francis Xavier
Fryderyk,"Frederick, Fred"
Gabriel,Gabriel
Gaj,Gaius
Gaweł,"Gallus, Gall"
Gerard,"Gerard, Garrett"
Gerwazy,Gervase
Ginter,Gunther
Grzegorz,Gregory
Gustaw,"Gustave, Gustav"
Gwalbert,"Gualbert, Walbert"
Halina,Helen
Hanusz,John
Henryk,"Henry, Harry"
Herbert,Herbert
Hieronim,Jerome
Hilary,Hilary
Hipolit,Hippolytus
Honorat,Honor
Horacy,"Horace, Horatio"
Hubert,Hubert
Hugo,"Hugh, Hugo"
Idzi,"Giles, Aegidius"
Ignacy,Ignatius
Igor,Igor
Inocenty,Innocent
Ireneusz,Ireneus
Iwan,Ivan
Iwo,Ivo
Iwon,Ivo
Izajasz,Isaiah
Izydor,Isidore
Jacek,Jack
Jakub,"Jacob, James"
Jan,John
Janusz,"John, Jack"
Jaromir,Jaromir
Jaropełk,Yaropolk
Jarosław,Jaroslav
Jerzy,George
Joachim,Joachim
Jozafat,Josephat
Józef,Joseph
Józefat,Josephat
Julian,Julian
Juliusz,"Jules, Julius"
Juri,Yuri
Justyn,Justin
Kacper,"Jasper, Casper"
Kajetan,"Cajetan, Cajetanus"
Kamil,Camillus
Karol,"Charles, Carl"
Kasper,"Jasper, Casper"
Kazimierz,Casimir
Klaudiusz,Claude
Klemens,Clement
Kondrat,Conrad
Konrad,Conrad
Konstanty,Constant
Konstantyn,Constantine
Kornel,Cornelius
Korneli,Cornelius
Korneliusz,Cornelius
Kosma,"Cosmo, Cosmas"
Kryspyn,Crispin
Krystian,Christian
Krystyn,Christinus
Krzysztof,Christopher
Ksawery,Xavier
Kwiatosław,kviat = 'flower' + slav = 'glory'
Laurencjusz,"Lawrence, Laurence"
Lech,lech = 'Pole'
Lechosław,lech = 'Pole' + slav = 'glory'
Leo,"Leon, Leo"
Leon,"Leon, Leo"
Leokadiusz,Leocadius
Leonard,Leonard
Leopold,Leopold
Lesław,contracted form of Lechosław
Leszek,"cf. Lech, = 'to act cunningly'"
Lew,"Leon, Leo"
Longin,Longin
Lubomił,lubo = 'loved' + mił = 'dear'
Lubomir,lubo = 'loved' + mir = 'peace'
Luborad,lubo = 'loved' + rad = 'help'
Lubosław,"lubo = 'loved' + sław = 'fame, glory, renown'"
Lucjan,Lucian
Ludomił,ludo = 'people' + mił = 'dear'
Ludomir,ludo = 'people' + mir = 'peace'
Ludwik,"Lewis, Louis"
Łukasz,"Luke, Lucas"
Maciej,Matthias
Makary,Macarius
Maksymilian,Maximilian
Malachiasz,Malachi
Manfred,Manfred
Marcel,"Marcel, Marcellus"
Marceli,"Marcel, Marcellus"
Marcin,"Martin, Martyn"
Marek,"Mark, Marc, Marcus"
Marian,"Marion, Marianus"
Marin,Marin
Mariusz,Marius
Maryn,Marin
Mateusz,Matthew
Maurycjusz,"Maurice, Morris"
Maurycy,"Maurice, Morris"
Maurycjusz,"Maurice, Morris"
Medard,Medard
Melchior,Melchior
Metody,Methodius
Michał,Michael
Mieczysław,Mitchell
Mikołaj,Nicholas
Napoleon,Napoleon
Narcyz,Narcissus
Natan,Nathan
Natanael,Nathanael
Nataniel,Nathaniel
Nicefor,Nicephorus
Nikodem,Nicodemus
Norbert,Norbert
Oktawiusz,Octavius
Olaf,"Olaf, Olav"
Oleg,Oleg
Onufry,"Onuphrius, Humphrey"
Oskar,Oscar
Oswald,"Oswald, Osvald"
Pabian,Fabian
Pafnucy,Paphnutius
Pankracy,Pancras
Patryk,Patrick
Paweł,Paul
Pelagiusz,Pelagius
Petroniusz,Petronius
Piotr,Peter
Polikarp,Polycarp
Prot,Protus ?
Rafał,Raphael
Rajmund,Raymond
Remigiusz,"Remy, Remi"
Robert,Robert
Roch,Rock
Roland,Roland
Roman,Roman
Romuald,Romuald
Rudolf,Rudolph
Ryszard,Richard
Sebastian,Sebastian
Serafin,Seraphinus
Sergiusz,Serge
Serwacy,"Servatius, Servais"
Seweryn,Severin
Siemowit,"siemo = 'person, family' + wit = 'lord, master'"
Sławomir,"slav = 'glory + meri = 'great, famous'"
Sofroniusz,Sophron
Stanisław,"Stanislaus, Stanley"
Stefan,"Stephen, Steven"
Sylwester,"Sylvester, Silvester"
Szczepan,"Stephen, Steven"
Szymon,"Simon, Simeon"
Tadeusz,Thaddeus
Teobald,"Theobald, Tibald"
Teodor,Theodore
Teofil,Theophilus
Tobiasz,"Toby, Tobias"
Tomasz,Thomas
Tymon,Timon
Tymoteusz,Timothy
Tytus,Titus
Urban,Urban
Wacław,Wenceslas
Waldemar,"Waldemar, Valdemar"
Walenty,Valent
Walentyn,Valentine
Walerian,Valerian
Walter,Walter
Wandelin,Wendelin
Wawrzyniec,"Lawrence, Laurence"
Więcesław,Wenceslas
Wendelin,Wendelin
Wielisław,"vele = 'great' + sław = 'famous, glory, renown'"
Wiesław,"vele = 'great' + sław = 'famous, glory, renown'"
Wiktor,Victor
Wilhelm,William
Wincenty,Vincent
Wisław,"vele = 'great' + sław = 'famous, glory, renown'"
Wit,"Vitus, Guy"
Witalis,Vitalis
Witold,wida = 'wide or witu = 'wood' + wald = 'ruler'
Witołd,Witold
Władysław,"Ladislaus, Vladislav"
Włodzimierz,Vladimir
Włodzisław,"Ladislaus, Vladislav"
Wojciech,"voi = 'soldier, warrior' + tech = 'consolation'"
Wojsław,"voi = 'soldier, warrior' + sław = 'famous, glory, renown'"
Zachariasz,"Zachariah, Zachary"
Zbigniew,zbit = 'to get rid of' + gniew = 'anger'
Zdzisław,"zde = 'here, present' + sław = 'famous, glory, renown'"
Żelisław,"zhelit = 'to desire' + sław = 'famous, glory, renown'"
Zenobiusz,Zenobius
Zenon,"Zenon, Zeno"
Ziemowit,"siemo = 'person, family' + wit = 'lord, master'"
Zygfryd,"Sigfrid, Siegfried"
Zygmunt,Sigismund
Żytomir,"zhit = 'to live' + meri = 'great, famous' or mir = 'peace'"
Adelajda,Adelaide
Adriana,Adriana
Adrianna,Adrienne
Agata,Agatha
Agnieszka,Agnes
Aleksandra,"Alexandra, Alexis"
Aleksja,Alexia
Alicja,"Alice, Alicia"
Alina,Alina
Amanda,"Amanda, Mandy"
Amelia,Amelie
Anastazja,"Anastasia, Stacy"
Andrea,Andrea
Andrzeja,Andrea
Aneta,Annette
Angela,Angela
Angelika,Angelica
Angelina,Angelina
Aniela,Angela
Anita,Anita
Anna,"Ann, Anne, Anna"
Antonina,Antoinette
Arleta,Arletta
Aurelia,Aurelia
Balbina,Balbina
Barbara,Barbara
Beata,Beata
Berenika,Berenice
Brygida,Bridget
Cecylia,"Cicely, Cilly"
Celina,Celine
Dagmara,Dagmar
Daniela,Daniela
Danuta,"Dana, Donata"
Daria,Daria
Deksteryn,Dexterine
Dominika,Dominique
Donata,Donata
Dorota,Dorothy
Dżesika,Jessica
Edyta,Edith
Eleonora,Eleanor
Eliza,"Eliza, Elise"
Elżbieta,"Elizabeth, Elisabeth"
Emilia,Emily
Eugenia,Eugenia
Ewa,Eve
Ewelina,Evelyn
Fabiola,Fabienne
Faustyna,Faustina
Franciszka,"Frances, Francine"
Gabriela,"Gabriella, Gabrielle"
Genowefa,"Genevieve, Genoveva"
Grażyna,Grace
Halina,Helen
Hanna,Hannah
Hedwiga,Hedwig
Helena,Helen
Henryka,"Harriet, Henrietta"
Ilona,"Ilona, Helen"
Irena,Irene
Iwa,Iva
Iwona,Yvonne
Izabela,Isabella
Jadwiga,Hedwig
Janina,"Jane, Jean, Jeannine"
Joanna,"Joan, Joanna, Joanne"
Jolanta,"Iolanthe, Yolanda"
Józefa,Josepha
Józefina,Josephine
Judyta,"Judith, Judy"
Julia,"Julia, Julie"
Justyna,Justine
Kaja,"Kay, Kaya"
Kamila,Camilla
Karina,Karen
Karolina,Caroline
Katarzyna,"Catherine, Katharine"
Kasandra,Cassandra
Kazimiera,Casimira
Klara,"Clare, Claire"
Klaudia,Claudia
Klementyna,Clementine
Kornelia,Cornelia
Krystyna,Christine
Ksenia,Xenia
Kunegunda,"Cunegond, Cunegund"
Laura,Laura
Lidia,Lydia
Lilia,"Lilli, Lilly"
Liliana,Lillian
Linda,Linda
