Polish,English
Afganistan,Afghanistan
Albania,Albania
Algieria,Algeria
Andora,Andorra
Angola,Angola
Antigua i Barbuda,Antigua and Barbuda
Arabia Saudyjska,Saudi Arabia
Argentyna,Argentina
Armenia,Armenia
Australia,Australia
Azerbejdżan,Azerbaijan
Bahamy,Bahamas
Bahrajn,Bahrain
Bangladesz,Bangladesh
Barbados,Barbados
Belgia,Belgium
Belize,Belize
Benin,Benin
Bhutan,Bhutan
Białoruś,Belarus
Birma,Burma
Boliwia,Bolivia
Bośnia i Hercegowina,Bosnia and Herzegovina
Botswana,Botswana
Brazylia,Brazil
Brunei,Brunei
Bułgaria,Bulgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Chile,Chile
Chiny,China
Chorwacja,Croatia
Cypr,Cyprus
Czad,Chad
Czechy,Czech Republic
Dania,Denmark
Dominika,Dominica
Dominikana,Dominican Republic
Dżibuti,Djibouti
Egipt,Egypt
Ekwador,Ecuador
Erytrea,Eritrea
Estonia,Estonia
Etiopia,Ethiopia
Filipiny,Philippines
Finlandia,Finland
Francja,France
Gabon,Gabon
Gambia,Gambia
Ghana,Ghana
Grecja,Greece
Grenada,Grenada
Gruzja,Georgia
Gujana,Guyana
Gwatemala,Guatemala
Gwinea,Guinea
Gwinea Bissau,Guinea-Bissau
Gwinea Równikowa,Equatorial Guinea
Haiti,Haiti
Hiszpania,Spain
Holandia,The Netherlands
Honduras,Honduras
Indie,India
Indonezja,Indonesia
Irak,Iraq
Iran,Iran
Irlandia,Ireland
Islandia,Iceland
Izrael,Israel
Jamajka,Jamaica
Japonia,Japan
Jemen,Yemen
Jordania,Jordan
Jugosławia,Yugoslavia
Kambodża,Cambodia
Kamerun,Cameroon
Kanada,Canada
Katar,Qatar
Kazachstan,Kazakhstan
Kirgistan,Kyrgyzstan
Kiribati,Kiribati
Kolumbia,Colombia
Komory,Comoros
Kongo,Congo
"Konga, Demokratyczna Republika","Congo, Democratic Republic"
Korea Południowa,South\rKorea
Korea Północna,North\rKorea
Kostaryka,Costa Rica
Kuba,Cuba
Kuwejt,Kuwait
Laos,Laos
Lesotho,Lesotho
Liban,Lebanon
Liberia,Liberia
Libia,Libya
Liechtenstein,Liechtenstein
Litwa,Lithuania
Luksemburg,Luxembourg
Łotwa,Latvia
Macedonia,Macedonia
Madagaskar,Madagascar
Malawi,Malawi
Malediwy,Maledives
Malezja,Malaysia
Mali,Mali
Malta,Malta
Maroko,Morocco
Mauretania,Mauritania
Mauritius,Mauritius
Meksyk,Mexico
Mikronezja,Micronesia
Monako,Monaco
Mongolia,Mongolia
Mozambik,Mozambique
Namibia,Namibia
Nauru,Nauru
Nepal,Nepal
Niemcy,Germany
Niger,Niger
Nigeria,Nigeria
Nikaragua,Nicaragua
Norwegia,Norway
Nowa Zelandia,New Zealand
Oman,Oman
Pakistan,Pakistan
Palau,Palau
Panama,Panama
Papua-Nowa Gwinea,Papua New Guinea
Paragwaj,Paraguay
Peru,Peru
Polska,Poland
Portugalia,Portugal
Republika Południowej\rAfryki,South Africa
Republika Środkowoafrykańska,Central African Republic
Republika Zielonego Przylądka,Cape Verde
Rosja,Russian Federation
Rwanda,Rwanda
Rumunia,Romania
Saint Christopher i\rNevis,Saint Kitts and\rNevis
Saint Lucia,Saint Lucia
Saint Vincent i\rGrenadyny,Saint Vincent and the\rGrenadines
Samoa,Samoa
San Marino,San Marino
Senegal,Senegal
Seszele,Seychelles
Sierra Leone,Sierra Leone
Singapur,Singapore
Słowacja,Slovakia
Słowenia,Slovenia
Somalia,Somalia
Sri Lanka,Sri Lanka
Stany Zjednoczone,United States of America
Suazi,Swaziland
Sudan,Sudan
Surinam,Suriname
Syria,Syria
Szwajcaria,Switzerland
Szwecja,Sweden
Tadżykistan,Tadjikistan
Tajlandia,Thailand
Tanzania,Tanzania
Togo,Togo
Tonga,Tonga
Trynidad i Tobago,Trinidad and Tobago
Tunezja,Tunisia
Turcja,Turkey
Turkmenistan,Turkmenistan
Tuvalu,Tuvalu
Uganda,Uganda
Ukraina,Ukraine
Urugwaj,Uruguay
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
Watykan,Vatican City
Wenezuela,Venezuela
Wielka Brytania,United Kingdom
Wietnam,Vietnam
Włochy,Italy
Wybrzeże Kości Słoniowej,Ivory Coast (Côte d’Ivoire)
Wyspy Marshalla,Marshall Islands
Wyspy Salomona,Solomon Islands
Wyspy Świętego Tomasza i\rKsiążęca,S~ao Tomé and\rPríncipe
Zambia,Zambia
Zimbabwe,Zimbabwe
Zjednoczone Emiraty\rArabskie,United Arab\rEmirates
